EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff,FullAddress,Latitude,Longitude
0893.614.577,REGO,,,2060,Antwerpen,Antwerpen,Lange Stuivenbergstraat,Lange Stuivenbergstraat,80,,,,"Lange Stuivenbergstraat 80, 2060 Antwerpen, Belgium",51.22434525,4.431506129538694
0893.775.222,REGO,,,2060,Antwerpen,Antwerpen,Van Kerckhovenstraat,Van Kerckhovenstraat,7,,,,"Van Kerckhovenstraat 7, 2060 Antwerpen, Belgium",51.2257137,4.422409425864291
0893.817.386,REGO,,,2060,Antwerpen,Antwerpen,Van Arteveldestraat,Van Arteveldestraat,63,,,,"Van Arteveldestraat 63, 2060 Antwerpen, Belgium",51.2209809,4.419643411364849
0893.875.883,REGO,,,2060,Antwerpen,Antwerpen,Gemeentestraat,Gemeentestraat,30,,,,"Gemeentestraat 30, 2060 Antwerpen, Belgium",51.21891125,4.420342565
0894.118.878,REGO,,,2060,Antwerpen,Antwerpen,Van Kerckhovenstraat,Van Kerckhovenstraat,44,,,,"Van Kerckhovenstraat 44, 2060 Antwerpen, Belgium",51.2257803,4.423986523253828
0894.218.452,REGO,,,2060,Antwerpen,Antwerpen,Diepestraat,Diepestraat,156,,,,"Diepestraat 156, 2060 Antwerpen, Belgium",51.2219526,4.425870796961064
0894.328.023,REGO,,,2060,Antwerpen,Antwerpen,Richardstraat,Richardstraat,13,,,,"Richardstraat 13, 2060 Antwerpen, Belgium",51.223941350000004,4.421070042964271
0894.468.276,REGO,,,2060,Antwerpen,Antwerpen,Bredastraat,Bredastraat,151,,,,"Bredastraat 151, 2060 Antwerpen, Belgium",51.2379983,4.423516818535827
0894.611.105,REGO,,,2060,Antwerpen,Antwerpen,Osystraat,Osystraat,47,1,,,"Osystraat 47, 2060 Antwerpen, Belgium",51.2215451,4.417908481586039
0894.675.144,REGO,,,2060,Antwerpen,Antwerpen,Oudesteenweg,Oudesteenweg,51,4006,,,"Oudesteenweg 51, 2060 Antwerpen, Belgium",51.1676651,4.483487394128915
0894.682.567,REGO,,,2060,Antwerpen,Antwerpen,Korte Zavelstraat,Korte Zavelstraat,22,,,,"Korte Zavelstraat 22, 2060 Antwerpen, Belgium",51.2229969,4.426932040505461
0894.784.319,REGO,,,2060,Antwerpen,Antwerpen,Delinstraat,Delinstraat,70,,,,"Delinstraat 70, 2060 Antwerpen, Belgium",51.220704749999996,4.424193748949038
0894.791.445,REGO,,,2060,Antwerpen,Antwerpen,Maatsweg,Maatsweg,3,,,,"Maatsweg 3, 2060 Antwerpen, Belgium",51.225755050000004,4.437039818035714
0894.941.596,REGO,,,2060,Antwerpen,Antwerpen,Korte Lobroekstraat,Korte Lobroekstraat,1-5,,,,"Korte Lobroekstraat 1-5, 2060 Antwerpen, Belgium",51.230107089699565,4.4307927364709085
0894.950.011,REGO,,,2060,Antwerpen,Antwerpen,Sint-Jobstraat,Sint-Jobstraat,12,22,,,"Sint-Jobstraat 12, 2060 Antwerpen, Belgium",51.22971455,4.422272892063813
0895.008.409,REGO,,,2060,Antwerpen,Antwerpen,Lovelingstraat,Lovelingstraat,1,,,,"Lovelingstraat 1, 2060 Antwerpen, Belgium",51.220913350000004,4.432009156379426
0895.051.662,REGO,,,2060,Antwerpen,Antwerpen,Lange Scholiersstraat,Lange Scholiersstraat,55,,,,"Lange Scholiersstraat 55, 2060 Antwerpen, Belgium",51.22483405,4.429331120091312
0895.060.075,REGO,,,2060,Antwerpen,Antwerpen,Potgieterstraat,Potgieterstraat,66,,,,"Potgieterstraat 66, 2060 Antwerpen, Belgium",51.22119887237176,4.4375057559359234
0895.078.188,REGO,,,2060,Antwerpen,Antwerpen,Erwtenstraat,Erwtenstraat,41,,,,"Erwtenstraat 41, 2060 Antwerpen, Belgium",51.225864200000004,4.433196688587381
0895.194.786,REGO,,,2060,Antwerpen,Antwerpen,Van Maerlantstraat,Van Maerlantstraat,70,,,23-05-2023,"Van Maerlantstraat 70, 2060 Antwerpen, Belgium",51.221909,4.417930616566502
0895.224.876,REGO,,,2060,Antwerpen,Antwerpen,Van Kerckhovenstraat,Van Kerckhovenstraat,55,,,,"Van Kerckhovenstraat 55, 2060 Antwerpen, Belgium",51.226185,4.424881446156552
