EntityNumber,omzet
0782.611.737,37008.15
0782.682.706,168735.43
0782.886.802,15370
0782.890.760,84130.77
0783.244.910,16521
0783.322.708,409440.57
0783.387.143,500388.85
0783.948.951,174884.60
0783.962.908,109860.69
0783.972.905,787613.24
0783.978.150,122168.12
0784.471.563,42948.12
0784.515.610,67212.97
0784.518.182,53561
0784.723.367,132227.34
0784.792.950,183298.63
0785.267.260,18098.24
0785.295.865,106355.57
0785.330.707,92022.15
0785.477.294,1128440.42
0785.597.060,8534.72
0785.608.740,57962.42
0785.664.960,74876.71
0785.761.168,55803.76
0785.787.991,17992.21
0785.860.742,39377.60
0786.435.418,11150.11
0786.453.135,23047.84
0786.488.074,264698.45
0786.534.891,17160.46
0786.616.748,36964.02
0786.622.092,19903.69
0786.684.054,18022.27
0786.865.285,11462.91
0786.953.377,71919.79
0787.493.906,89324.53
0787.529.835,83629.32
0787.642.077,82499.93
0787.802.920,62972.58
0787.991.277,168192
0788.257.335,60842.89
0788.373.438,501994.95
0788.605.248,51460.3
0788.780.541,35282.74
0788.843.590,85236.97
0788.904.859,10507.27
0788.927.823,4259.83
0788.958.705,138332.16
0788.980.281,25987.61
0789.279.496,733.21
0789.303.054,28989.34
0789.334.827,13644.73
0789.361.452,27567.67
0789.622.461,85733.29
0789.971.562,1243111.8
0790.146.261,50573.73
0790.179.915,92316.11
0790.242.271,81171.78
0790.346.793,56881.71
0790.357.681,285
0790.383.813,421216.26
0790.484.771,22170
0790.572.170,1005870.80
0790.577.714,60235.89
0790.643.139,319000.88
0790.651.948,92540.14
0790.962.447,623.59
0790.989.963,23897.13
0791.183.765,88919.43
0791.413.793,9751.16
0791.492.878,62323.57
0791.606.607,95568.76
0791.796.746,5484.35
0792.230.375,30020.73
0792.268.482,155830.14
0792.303.621,14969.2
0792.563.937,64813.22
0792.791.193,70363.20
0792.959.855,115064.85
0793.326.970,25794.74
0793.575.212,116820.96
0793.745.753,181681.05
0794.146.621,341165.33
0794.242.334,158701.03
0794.256.784,615587
0794.365.464,75263.19
0794.536.403,43060.26
0794.675.666,248555.60
0794.705.657,218887.96
0794.788.504,21717.68
0795.260.141,931443.39
0795.466.811,26075.81
0795.734.946,137968.61
0795.739.401,789577.76
0797.265.071,175039.51
0797.455.905,52801.43
0797.872.906,111116.03
0797.884.386,12981.75
0798.206.565,1269.44
0798.284.957,13615.98
0798.521.717,64038.26
0798.640.095,59689.32
0798.667.415,75097.44
0798.682.558,28302.87
0798.683.944,37784.22
0798.733.731,11735.55
0799.252.680,100015.63
0799.437.475,15278.84
0800.292.065,40439.25
0800.507.742,45630.25
0800.728.169,24273.68
0801.241.873,952.57
0801.242.764,84177.84
0801.425.777,14000
0801.437.358,70197.88
0801.620.767,9542.33
0802.209.301,5436.26
0802.293.730,112233.21
0802.348.762,65860.36
0802.507.625,82460.5
0803.030.336,5611.82
0803.096.355,3151.93
0803.152.080,1851.49
0803.211.468,24250
0803.475.546,21435.06
0803.870.078,55402.29
0803.987.666,5001.10
0804.457.424,3794.21
0804.614.802,46146.64
0804.689.630,640223.74
0804.780.294,23748.09
0805.191.357,56237.18
0805.304.688,479.85
0805.564.907,778.05
0805.758.610,36672.18
0806.424.643,1755140.34
0806.520.158,333639.20
0806.559.948,85873.33
0806.620.920,101525.27
0806.663.579,859806.49
0806.929.835,113883.11
0806.933.003,480688.82
0806.980.414,299604.63
0807.048.413,7756.89
0807.219.251,933962.50
0807.790.363,66941.17
0807.821.641,275896
0807.878.257,224297.47
0808.179.848,126429.98
0809.024.936,44369
0809.095.608,2102.59
